averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight
4.4,Vortex,"12.21"" x 4.73"" x 1.18""",Silver,https://mechanicalkeyboards.com/shop/images/products/large_VTG83MSLV_main.jpg,USB,Primary: Multi Dye Sub PBT with Black legends,n/a,ANSI,Race 3,Vortex Race 3 TKL Dye Sub PBT Mechanical Keyboard,26,US QWERTY,$139.00,Full,Tenkeyless,VTG83BLKMSLV,Cherry MX Black,1.69 lbs
,Topre,"17.95"" x 6.65"" x 1.54""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2875_large_2874_104UB_1.jpg,USB,Primary: Dark Gray Dye Sub PBT with Black legends,n/a,ANSI,Realforce 104U,Topre Realforce 104U Black Silent Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$249.00,6,Full Size,XF11TS,Topre Variable,3.09 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$135.00,Full,60%,MY68NL1W/LLPaNDv,Cherry MX Black,2.29 lbs
,Filco,"14.10"" x 5.30"" x 1.30""",White,https://mechanicalkeyboards.com/shop/images/products/large_1951_CreamGreen_1.jpg,USB,Primary: White Laser Printed ABS with Green legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Cream White and Green TKL Mechanical Keyboard,0,US QWERTY,$139.00,Full,Tenkeyless,FKBN87M/EWG2,Cherry MX Brown,2.20 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1521_DSC_1506.jpg,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-W-BK,Kailh Brown,2.90 lbs
4.7,Mechanical Keyboards Inc,"14.17"" x 5.51"" x 1.63""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2583_White_1.JPG,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Disco,MK Disco White RGB LED TKL Double Shot PBT Mechanical Keyboard,6,US QWERTY,$119.00,Full,Tenkeyless,MK8715RGB-AUSPDWAT6,KBT Black,2.65 lbs
,Topre,"17.95"" x 6.65"" x 1.54""",White,https://mechanicalkeyboards.com/shop/images/products/large_2873_large_2872_104UW_1.jpg,USB,Primary: White Dye Sub PBT with Black legends,n/a,ANSI,Realforce 104U,Topre Realforce 104U White Silent Dye Sub PBT Mechanical Keyboard,0,US QWERTY,$249.00,6,Full Size,XF01TS,Topre Variable,3.09 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1519_DSC_1483.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-B-CK,Kailh Blue,2.90 lbs
,Royal Kludge,"14.00"" x 4.10"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1512_DSC_1449.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-987,Royal Kludge RG-987 RGB LED  TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$74.00,6,Tenkeyless,RG987-B-BG,Greetech Brown,2.40 lbs
5.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_KBP-V60GTR-_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 GTR 60% Mechanical Keyboard,1,US QWERTY,$99.00,6,60%,KBP-V60GTR-C,Gateron Blue,1.20 lbs
3.0,Varmilo,"14.00"" x 5.00"" x 1.35""",Pink,https://mechanicalkeyboards.com/shop/images/products/large_2790_SakuraTKL_1.jpg,USB,Primary: Multi Dye Sub PBT with Pink legends,Pink,ANSI,VA87M,Varmilo VA87M Sakura Pink LED  TKL Dye Sub PBT Mechanical Keyboard,3,US QWERTY,$139.00,Full,Tenkeyless,VA87ML2P/PP88V,Cherry MX Black,2.41 lbs
